,Date (MST),Date (MPT),Asset Short Name,Asset Name,Asset Grouping,Volume,Maximum Capability,System Capability,Fuel Type,Sub Fuel Type,Planning Area,Region,Asset Utilization
105936,2023-01-01 00:00:00,2023-01-01,SD6,SD6 Sundance #6,SD6,299.8840685865614,401.0,401.0,GAS,GAS_FIRED_STEAM,40,Edmonton,0.7478405700413002
106680,2023-01-01 00:00:00,2023-01-01,SDH1,SDH1 Saddle Hills,SDH1,0.0,10.0,10.7,GAS,COGENERATION,20,Northwest,0.0
107424,2023-01-01 00:00:00,2023-01-01,SET1,SET1 South Edmonton Terminal,SET1,13.300000190734863,20.0,20.0,GAS,SIMPLE_CYCLE,60,Edmonton,0.6650000095367432
108168,2023-01-01 00:00:00,2023-01-01,SH1,SH1 Sheerness #1,SH1,244.92903717041017,400.0,400.0,GAS,GAS_FIRED_STEAM,43,South,0.6123225929260254
108912,2023-01-01 00:00:00,2023-01-01,SH2,SH2 Sheerness #2,SH2,197.4561137813992,400.0,400.0,GAS,GAS_FIRED_STEAM,43,South,0.493640284453498
109656,2023-01-01 00:00:00,2023-01-01,SHCG,SHCG Caroline #1,SHCG,0.0,19.0,4.0,GAS,COGENERATION,38,Central,0.0
110400,2023-01-01 00:00:00,2023-01-01,SLP1,SLP1 Slave Lake,SLP1,8.111167019738092,9.0,4.9,OTHER,Biomass,21,Northwest,0.9012407799708991
111144,2023-01-01 00:00:00,2023-01-01,SRL1,SRL1 Swan Hills Geothermal,SRL1,13.206333146625097,20.0,20.0,OTHER,Dual Fuel,26,Northwest,0.6603166573312549
111888,2023-01-01 00:00:00,2023-01-01,STR1,STR1 Strathmore,STR1,0.0,18.0,18.0,SOLAR,SOLAR,45,South,0.0
112632,2023-01-01 00:00:00,2023-01-01,STR2,STR2 Strathmore,STR2,0.0,23.0,23.0,SOLAR,SOLAR,45,South,0.0
113376,2023-01-01 00:00:00,2023-01-01,SUF1,SUF1 Suffield,SUF1,0.0,23.0,23.0,SOLAR,SOLAR,4,South,0.0
114120,2023-01-01 00:00:00,2023-01-01,SUM1,SUM1 Summerview,SUM1,0.0,10.0,10.0,ENERGY STORAGE,ENERGY STORAGE,53,South,0.0
114864,2023-01-01 00:00:00,2023-01-01,TAB1,TAB1 Enmax Taber,TAB1,0.0,81.0,81.0,WIND,WIND,52,South,0.0
115608,2023-01-01 00:00:00,2023-01-01,TAY1,TAY1 Taylor Hydro 1,TAY1,0.0,14.0,14.0,HYDRO,HYDRO,55,South,0.0
116352,2023-01-01 00:00:00,2023-01-01,TC01,TC01 Carseland Cogen,TC01,81.40353094524808,95.0,95.0,GAS,COGENERATION,45,South,0.8568792731078745
117096,2023-01-01 00:00:00,2023-01-01,TC02,TC02 Redwater Cogen,TC02,82.7537783516778,92.0,92.0,GAS,COGENERATION,33,Northeast,0.8994975907791065
117840,2023-01-01 00:00:00,2023-01-01,TLM2,TLM2 Edson,TLM2,9.7700161046452,13.0,13.0,GAS,COGENERATION,29,Central,0.751539700357323
118584,2023-01-01 00:00:00,2023-01-01,TRH1,TRH1 Kneehill Solar,TRH1,0.0,25.0,25.0,SOLAR,SOLAR,42,Central,0.0
119328,2023-01-01 00:00:00,2023-01-01,TVS1,TVS1 Travers,TVS1,0.0,465.0,465.0,SOLAR,SOLAR,49,South,0.0
120072,2023-01-01 00:00:00,2023-01-01,UOA1,UOA1 UofA Generator,UOA1,29.52550054974026,39.0,5.0,GAS,COGENERATION,60,Edmonton,0.7570641166600067
120816,2023-01-01 00:00:00,2023-01-01,UOC1,UOC1 U of C Generator,UOC1,13.541794895595974,12.0,12.0,GAS,COGENERATION,6,Calgary,1.1284829079663312
121560,2023-01-01 00:00:00,2023-01-01,VCN1,VCN1 Vulcan,VCN1,0.0,22.0,22.0,SOLAR,SOLAR,49,South,0.0
122304,2023-01-01 00:00:00,2023-01-01,VVW1,VVW1 Valley View 1,VVW1,0.0,50.0,50.0,GAS,SIMPLE_CYCLE,23,Northwest,0.0
123048,2023-01-01 00:00:00,2023-01-01,VVW2,VVW2 Valley View 2,VVW2,0.0,50.0,50.0,GAS,SIMPLE_CYCLE,23,Northwest,0.0
123792,2023-01-01 00:00:00,2023-01-01,VXH1,VXH1 Vauxhall,VXH1,0.0,22.0,22.0,SOLAR,SOLAR,52,South,0.0
124536,2023-01-01 00:00:00,2023-01-01,WCD1,WCD1 West Cadotte,WCD1,15.280277866257562,20.0,20.0,GAS,SIMPLE_CYCLE,19,Northwest,0.7640138933128781
125280,2023-01-01 00:00:00,2023-01-01,WEF1,WEF1 Westfield Yellow Lake,WEF1,0.0,19.0,19.0,SOLAR,SOLAR,52,South,0.0
126024,2023-01-01 00:00:00,2023-01-01,WEY1,WEY1 Steam Turbine 48MW,WEY1,42.77761590321859,48.0,48.0,OTHER,Oil/Gas,20,Northwest,0.8912003313170539
126768,2023-01-01 00:00:00,2023-01-01,WHE1,WHE1 Wheatland Wind,WHE1,2.816499944925308,120.0,120.0,WIND,WIND,43,South,0.023470832874377567
127512,2023-01-01 00:00:00,2023-01-01,WHT1,WHT1 Whitla,WHT1,0.0,202.0,202.0,WIND,WIND,4,South,0.0
128256,2023-01-01 00:00:00,2023-01-01,WHT2,WHT2 Whitla 2,WHT2,0.0,151.0,151.0,WIND,WIND,4,South,0.0
129000,2023-01-01 00:00:00,2023-01-01,WRW1,WRW1 Windrise,WRW1,182.5179467095269,207.0,207.0,WIND,WIND,53,South,0.8817292111571349
129744,2023-01-01 00:00:00,2023-01-01,WST1,WST1 Westlock,WST1,10.236999561521742,18.0,16.0,OTHER,Biomass,27,Northeast,0.568722197862319
130488,2023-01-01 00:00:00,2023-01-01,WWD1,WWD1 Weldwood,WWD1,26.153944057888456,50.0,10.0,OTHER,Biomass,29,Central,0.5230788811577691
337193,2023-04-18 23:00:00,2023-04-19,CHP1,CHP1 Chappice Lake,CHP1,0.0,14.0,14.0,SOLAR,SOLAR,4,South,0.0
420228,2023-06-20 23:00:00,2023-06-21,EMP1,EMP1 Empress Solar Park,EMP1,0.0,39.0,39.0,SOLAR,SOLAR,48,South,0.0
498944,2023-06-20 23:00:00,2023-06-21,HRV2,HRV2 High River 2,HRV2,0.0,10.0,10.0,GAS,SIMPLE_CYCLE,46,South,0.0
552397,2023-04-30 23:00:00,2023-05-01,MCH1,MCH1 Michichi Creek,MCH1,0.0,13.0,13.0,SOLAR,SOLAR,42,Central,0.0
682863,2023-05-15 23:00:00,2023-05-16,STV1,STV1 Stavely,STV1,0.0,17.0,17.0,SOLAR,SOLAR,49,South,0.0
770599,2023-06-29 23:00:00,2023-06-30,SWP1,SWP1 Stirling Wind,SWP1,0.0,113.0,113.0,WIND,WIND,54,South,0.0
